codigo,nome,dengue_2018,dengue_2019
330010,ANGRA DOS REIS,132,831
330015,APERIBE,20,11
330020,ARARUAMA,58,134
330022,AREAL,9,0
330023,ARMACAO DOS BUZIOS,1,135
330025,ARRAIAL DO CABO,39,47
330030,BARRA DO PIRAI,33,201
330040,BARRA MANSA,2,238
330045,BELFORD ROXO,68,331
330050,BOM JARDIM,1,43
330060,BOM JESUS DO ITABAPOANA,36,337
330070,CABO FRIO,103,269
330080,CACHOEIRAS DE MACACU,26,2
330090,CAMBUCI,4,6
330093,CARAPEBUS,0,20
330095,COMENDADOR LEVY GASPARIAN,0,1
330100,CAMPOS DOS GOYTACAZES,150,77
330110,CANTAGALO,3,7
330115,CARDOSO MOREIRA,11,17
330120,CARMO,4,6
330130,CASIMIRO DE ABREU,13,70
330140,CONCEICAO DE MACABU,8,54
330150,CORDEIRO,11,3
330160,DUAS BARRAS,1,3
330170,DUQUE DE CAXIAS,316,714
330180,ENGENHEIRO PAULO DE FRONTIN,6,4
330185,GUAPIMIRIM,9,10
330187,IGUABA GRANDE,17,30
330190,ITABORAI,2721,739
330200,ITAGUAI,8,32
330205,ITALVA,26,20
330210,ITAOCARA,56,7
330220,ITAPERUNA,331,229
330225,ITATIAIA,2,47
330227,JAPERI,0,112
330230,LAJE DO MURIAE,0,5
330240,MACAE,56,207
330245,MACUCO,0,0
330250,MAGE,53,56
330260,MANGARATIBA,4,74
330270,MARICA,475,77
330280,MENDES,0,9
330285,MESQUITA,4,15
330290,MIGUEL PEREIRA,2,30
330300,MIRACEMA,7,734
330310,NATIVIDADE,16,98
330320,NILOPOLIS,6,11
330330,NITEROI,1905,367
330340,NOVA FRIBURGO,20,16
330350,NOVA IGUACU,15,76
330360,PARACAMBI,13,10
330370,PARAIBA DO SUL,0,36
330380,PARATY,12,46
330385,PATY DO ALFERES,0,76
330390,PETROPOLIS,20,185
330395,PINHEIRAL,6,93
330400,PIRAI,195,324
330410,PORCIUNCULA,4,129
330411,PORTO REAL,3,21
330412,QUATIS,3,58
330414,QUEIMADOS,7,23
330415,QUISSAMA,5,11
330420,RESENDE,17,421
330430,RIO BONITO,24,20
330440,RIO CLARO,8,3
330450,RIO DAS FLORES,2,19
330452,RIO DAS OSTRAS,135,233
330455,RIO DE JANEIRO,5640,17888
330460,SANTA MARIA MADALENA,0,0
330470,SANTO ANTONIO DE PADUA,135,27
330475,SAO FRANCISCO DE ITABAPOANA,56,851
330480,SAO FIDELIS,47,3
330490,SAO GONCALO,1205,751
330500,SAO JOAO DA BARRA,37,32
330510,SAO JOAO DE MERITI,2,145
330513,SAO JOSE DE UBA,5,35
330515,SAO JOSE DO VALE DO RIO PRETO,4,2
330520,SAO PEDRO DA ALDEIA,77,231
330530,SAO SEBASTIAO DO ALTO,1,1
330540,SAPUCAIA,4,1
330550,SAQUAREMA,122,26
330555,SEROPEDICA,94,115
330560,SILVA JARDIM,1,10
330570,SUMIDOURO,0,0
330575,TANGUA,82,17
330580,TERESOPOLIS,6,22
330590,TRAJANO DE MORAES,0,0
330600,TRES RIOS,23,82
330610,VALENCA,9,29
330615,VARRE0SAI,0,29
330620,VASSOURAS,45,277
330630,VOLTA REDONDA,118,2784
