codigo,nome,pop_2018,pop_2019
3300100,Angra dos Reis,200407,203785
3300159,Aperibé,11612,11759
3300209,Araruama,130439,132400
3300225,Areal,12471,12572
3300233,Armação dos Búzios,33240,33870
3300258,Arraial do Cabo,30096,30349
3300308,Barra do Piraí,99969,100374
3300407,Barra Mansa,183976,184412
3300456,Belford Roxo,508614,510906
3300506,Bom Jardim,27269,27446
3300605,Bom Jesus do Itabapoana,36985,37096
3300704,Cabo Frio,222528,226525
3300803,Cachoeiras de Macacu,58560,58937
3300902,Cambuci,15496,15505
3300936,Carapebus,16039,16301
3300951,Comendador Levy Gasparian,8544,8561
3301009,Campos dos Goytacazes,503424,507548
3301108,Cantagalo,20177,20172
3301157,Cardoso Moreira,12826,12823
3301207,Carmo,18755,18895
3301306,Casimiro de Abreu,43295,44184
3301405,Conceição de Macabu,23064,23228
3301504,Cordeiro,21806,21926
3301603,Duas Barras,11454,11492
3301702,Duque de Caxias,914383,919596
3301801,Engenheiro Paulo de Frontin,13929,14002
3301850,Guapimirim,59613,60517
3301876,Iguaba Grande,27762,28310
3301900,Itaboraí,238695,240592
3302007,Itaguaí,125913,133019
3302056,Italva,15113,15207
3302106,Itaocara,23247,23234
3302205,Itaperuna,102626,103224
3302254,Itatiaia,31537,31805
3302270,Japeri,103960,104768
3302304,Laje do Muriaé,7386,7355
3302403,Macaé,251631,256672
3302452,Macuco,5574,5599
3302502,Magé,243657,245071
3302601,Mangaratiba,43689,44468
3302700,Maricá,157789,161207
3302809,Mendes,18578,18614
3302858,Mesquita,175620,176103
3302908,Miguel Pereira,25493,25538
3303005,Miracema,27195,27174
3303104,Natividade,15324,15317
3303203,Nilópolis,162269,162485
3303302,Niterói,511786,513584
3303401,Nova Friburgo,190084,190631
3303500,Nova Iguaçu,818875,821128
3303609,Paracambi,51815,52257
3303708,Paraíba do Sul,44045,44285
3303807,Paraty,42630,43165
3303856,Paty do Alferes,27678,27769
3303906,Petrópolis,305687,306191
3303955,Pinheiral,24941,25156
3304003,Piraí,28999,29277
3304102,Porciúncula,18730,18847
3304110,Porto Real,19381,19683
3304128,Quatis,14165,14302
3304144,Queimados,149265,150319
3304151,Quissamã,24246,24700
3304201,Resende,130334,131341
3304300,Rio Bonito,59814,60201
3304409,Rio Claro,18451,18529
3304508,Rio das Flores,9222,9284
3304524,Rio das Ostras,145989,150674
3304557,Rio de Janeiro,6688927,6718903
3304607,Santa Maria Madalena,10417,10404
3304706,Santo Antônio de Pádua,42359,42479
3304755,São Francisco de Itabapoana,42201,42205
3304805,São Fidélis,38626,38669
3304904,São Gonçalo,1077687,1084839
3305000,São João da Barra,36138,36102
3305109,São João de Meriti,471888,472406
3305133,São José de Ubá,7134,7171
3305158,São José do Vale do Rio Preto,21670,21795
3305208,São Pedro da Aldeia,102846,104476
3305307,São Sebastião do Alto,9326,9357
3305406,Sapucaia,18205,18228
3305505,Saquarema,87704,89170
3305554,Seropédica,86743,82312
3305604,Silva Jardim,21773,21774
3305703,Sumidouro,15577,15623
3305752,Tanguá,33870,34309
3305802,Teresópolis,180886,182594
3305901,Trajano de Moraes,10611,10626
3306008,Três Rios,81453,81804
3306107,Valença,76163,76523
3306156,Varre-Sai,10890,11000
3306206,Vassouras,36702,36896
3306305,Volta Redonda,271998,273012
